run_id,timestamp_utc,phase,script,argv,out_dir,manifest,git_sha,git_dirty,headline_metric,headline_value,notes
proxy_validation_20260917_104318,2026-09-17T10:47:08.034997+00:00,P1.1-proxy,07_validate_proxy.py,experiments/07_validate_proxy.py --models minilm,results\proxy_validation,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\proxy_validation\manifest.json,2eeaa311a1fc5668c6dec79de9573097225088d5,True,pooled_spearman_changed(primary),0.4003894949194486,adopt=False
retriever_ladder_20260917_105036,2026-09-17T10:51:20.819040+00:00,P2-ladder,11_retriever_ladder.py,experiments/11_retriever_ladder.py --limit 25 --retrievers dense_minilm bm25 hybrid_rrf --sim-models minilm --lambdas 1.0 --kappas 2.0 --tag smoke,results\retriever_ladder_smoke,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\retriever_ladder_smoke\manifest.json,2eeaa311a1fc5668c6dec79de9573097225088d5,True,n_cells,43,
feedback_calibration_20260917_110622,2026-09-17T11:07:42.640420+00:00,P1.4-calibration,10_feedback_calibration.py,experiments/10_feedback_calibration.py --saturation-queries 15,results\feedback_calibration,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\feedback_calibration\manifest.json,2eeaa311a1fc5668c6dec79de9573097225088d5,True,AUC(score->same_reply) conditioned,0.9013042499423305,
M2_team_dev_conditioned_continuous_smoke_20260917_124949,2026-09-17T12:50:07.175638+00:00,smoke,04_evaluate.py,experiments/04_evaluate.py --method M2_team --limit 3 --tag smoke,results\M2_team_dev_conditioned_continuous_smoke,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\M2_team_dev_conditioned_continuous_smoke\manifest.json,2eeaa311a1fc5668c6dec79de9573097225088d5,True,mean_delta_cosine,-0.00271,details=M2_team_dev_conditioned_continuous_smoke_20260917_125006_details.json
M2_team_dev_conditioned_continuous_smoke_20260917_125311,2026-09-17T12:53:21.157038+00:00,smoke,04_evaluate.py,experiments/04_evaluate.py --method M2_team --limit 3 --tag smoke,results\M2_team_dev_conditioned_continuous_smoke,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\M2_team_dev_conditioned_continuous_smoke\manifest.json,2eeaa311a1fc5668c6dec79de9573097225088d5,True,mean_delta_cosine,-0.03527,details=M2_team_dev_conditioned_continuous_smoke_20260917_125320_details.json
proxy_validation_20260917_132018,2026-09-17T13:36:53.064807+00:00,P1.1-proxy,07_validate_proxy.py,experiments/07_validate_proxy.py --models minilm bge,results\proxy_validation,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\proxy_validation\manifest.json,2eeaa311a1fc5668c6dec79de9573097225088d5,True,pooled_spearman_changed(primary),0.3990778166147026,config_selection=False per_ticket=False
feedback_calibration_20260917_134150,2026-09-17T13:46:33.732086+00:00,P1.4-calibration,10_feedback_calibration.py,experiments/10_feedback_calibration.py,results\feedback_calibration,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\feedback_calibration\manifest.json,2eeaa311a1fc5668c6dec79de9573097225088d5,True,AUC(score->same_reply) conditioned,0.9013042499423305,
rescore_20260917_134820,2026-09-17T15:11:31.445783+00:00,P1.2-rescore,08_rescore.py,experiments/08_rescore.py --no-bertscore,results\rescored,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\rescored\manifest.json,2eeaa311a1fc5668c6dec79de9573097225088d5,True,n_runs,8,
build_index_bge_20260918_070103,2026-09-18T07:01:05.199445+00:00,P2-index,02_build_index.py,experiments/02_build_index.py --embedder bge,data\processed\faiss_index_bge,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\data\processed\faiss_index_bge\manifest.json,2eeaa311a1fc5668c6dec79de9573097225088d5,True,n_vectors,1595,
proxy_validation_20260918_100045,2026-09-18T10:01:02.209279+00:00,P1.1-proxy,07_validate_proxy.py,experiments/07_validate_proxy.py,results\proxy_validation,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\proxy_validation\manifest.json,2eeaa311a1fc5668c6dec79de9573097225088d5,True,pooled_spearman_changed(primary),0.3990778166147026,config_selection=False per_ticket=False
rescore_20260918_100433,2026-09-18T10:05:03.499611+00:00,P1.2-rescore,08_rescore.py,experiments/08_rescore.py,results\rescored,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\rescored\manifest.json,2eeaa311a1fc5668c6dec79de9573097225088d5,True,n_runs,8,
retriever_ladder_20260918_092048,2026-09-18T10:16:24.303727+00:00,P2-ladder,11_retriever_ladder.py,experiments/11_retriever_ladder.py --split dev,results\retriever_ladder,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\retriever_ladder\manifest.json,5f14ac60755fa6c553e9f6eb742718fc04f0e6b9,True,n_cells,306,
proxy_validation_20260918_105809,2026-09-18T10:58:13.164901+00:00,P1.1-proxy,07_validate_proxy.py,experiments/07_validate_proxy.py,results\proxy_validation,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\proxy_validation\manifest.json,5f14ac60755fa6c553e9f6eb742718fc04f0e6b9,True,pooled_spearman_changed(primary),0.4003894949194486,config_selection=True per_ticket=False
rescore_20260918_105905,2026-09-18T10:59:15.393080+00:00,P1.2-rescore,08_rescore.py,experiments/08_rescore.py,results\rescored,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\rescored\manifest.json,5f14ac60755fa6c553e9f6eb742718fc04f0e6b9,True,n_runs,7,
learn_blend_20260918_110345,2026-09-18T11:09:20.753689+00:00,P3-blend,12_learn_blend.py,experiments/12_learn_blend.py --lift laplace_eb --tag eb,results\blend_eb,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\blend_eb\manifest.json,5f14ac60755fa6c553e9f6eb742718fc04f0e6b9,True,dev_gain M6_blend (proxy_top1),0.05385,
learn_blend_20260918_111117,2026-09-18T11:15:02.078252+00:00,P3-blend,12_learn_blend.py,experiments/12_learn_blend.py,results\blend,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\blend\manifest.json,5f14ac60755fa6c553e9f6eb742718fc04f0e6b9,True,dev_gain M6_blend (proxy_top1),0.03575,
feedback_volume_20260919_115033,2026-09-19T12:18:56.795248+00:00,P3-volume,13_feedback_volume_curve.py,experiments/13_feedback_volume_curve.py,results\feedback_volume,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\feedback_volume\manifest_feedback_volume_20260919_115033.json,5f14ac60755fa6c553e9f6eb742718fc04f0e6b9,True,fractions,8,
M1_global_dev_blind_binary_20260919_143911,2026-09-19T14:47:40.537207+00:00,P4-generation,04_evaluate.py,experiments/04_evaluate.py --method M1_global --split dev --seed 42 --agg-mode binary --feedback-protocol blind,results\M1_global_dev_blind_binary,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\M1_global_dev_blind_binary\manifest_M1_global_dev_blind_binary_20260919_143911.json,5f14ac60755fa6c553e9f6eb742718fc04f0e6b9,True,mean_delta_cosine,-0.02176,details=M1_global_dev_blind_binary_20260919_144738_details.json
M2_team_dev_blind_continuous_20260919_144948,2026-09-19T14:56:30.695051+00:00,P4-generation,04_evaluate.py,experiments/04_evaluate.py --method M2_team --split dev --seed 42 --feedback-protocol blind,results\M2_team_dev_blind_continuous,C:\Users\ailab\Documents\code\financial-pilot-ea\paper_ieee_access\results\M2_team_dev_blind_continuous\manifest_M2_team_dev_blind_continuous_20260919_144948.json,5f14ac60755fa6c553e9f6eb742718fc04f0e6b9,True,mean_delta_cosine,-0.03361,details=M2_team_dev_blind_continuous_20260919_145629_details.json
